Step,AgentID,x,y,Agent type,Issuetree
0,10,6,3,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7636889814682447, 0.571], [0.9711480237613496, 0.9491484445304453, 0.429], [0.9970433007223067, 0.9526747782366448, 0.26], [0.7250168133812331, 0.7300125112782625, 0.043], [1.0, 0.9563301905802108, 0.256], [0.996637833976807, 0.9779010852791549, 0.11], [0.8909109603462846, 0.9489776141524549, 0.332], [0], [0], [0.0], [0.75], [0.25], [0.02444196696583557], [0.0], [0.25], [0.0], [0.25], [0.2833278483359201], [0.2833278483359201]]"
0,11,2,7,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637197646788002, 0.549], [0.9711480237613496, 0.947088753985345, 0.451], [0.9970433007223067, 0.9536945278838309, 0.237], [0.7250168133812331, 0.7293708921504073, 0.05], [1.0, 0.9539723264078529, 0.252], [0.996637833976807, 0.9705944118319324, 0.142], [0.8909109603462846, 0.9493707537005791, 0.32], [0], [0], [0.0], [0.75], [0.25], [0.022322670283586223], [0.0], [0.25], [0.0], [0.25], [0.28355920812982777], [0.28355920812982777]]"
0,12,3,2,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7636946763988676, 0.577], [0.9711480237613496, 0.94967014310452, 0.423], [0.9970433007223067, 0.9553829544025376, 0.26], [0.7250168133812331, 0.7221831173193523, 0.018], [1.0, 0.9537084834882894, 0.289], [0.996637833976807, 0.9861284877162892, 0.066], [0.8909109603462846, 0.9497999517049053, 0.368], [0], [0], [0.0], [0.75], [0.25], [0.022322670283586223], [0.0], [0.25], [0.0], [0.25], [0.2834978191140308], [0.2834978191140308]]"
0,13,2,0,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637241400350833, 0.549], [0.9711480237613496, 0.9470578364874535, 0.451], [0.9970433007223067, 0.9483106575772547, 0.256], [0.7250168133812331, 0.7210615022286807, 0.021], [1.0, 0.9544450351947701, 0.239], [0.996637833976807, 0.9732307806950085, 0.123], [0.8909109603462846, 0.9596116174047306, 0.361], [0], [0], [0.0], [0.75], [0.25], [0.024479042333269745], [0.0], [0.25], [0.0], [0.25], [0.2835187617604428], [0.2835187617604428]]"
0,14,7,7,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7636900442247457, 0.708], [0.9711480237613496, 0.9590324966397179, 0.292], [0.9970433007223067, 0.9482541430187981, 0.264], [0.7250168133812331, 0.721844607671984, 0.017], [1.0, 0.9426450498631469, 0.31], [0.996637833976807, 0.9765161389272371, 0.109], [0.8909109603462846, 0.9488607599094803, 0.3], [0], [0], [0.0], [0.75], [0.25], [0.024477767806309482], [0.0], [0.25], [0.0], [0.25], [0.2834978191140308], [0.2834978191140308]]"
0,15,7,2,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637322141375098, 0.571], [0.9711480237613496, 0.9491467210885666, 0.429], [0.9970433007223067, 0.9488292425467485, 0.252], [0.7250168133812331, 0.7304205770536907, 0.047], [1.0, 0.9438460934482217, 0.293], [0.996637833976807, 0.9740750759307463, 0.118], [0.8909109603462846, 0.949012097933035, 0.291], [0], [0], [0.0], [0.75], [0.25], [0.02444196696583557], [0.0], [0.25], [0.0], [0.25], [0.2834761554692971], [0.2834761554692971]]"
0,16,2,1,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637276600600076, 0.617], [0.9711480237613496, 0.9529534589404317, 0.383], [0.9970433007223067, 0.9575099489892729, 0.216], [0.7250168133812331, 0.7297231743442192, 0.026], [1.0, 0.949931364562981, 0.274], [0.996637833976807, 0.9715816849517839, 0.137], [0.8909109603462846, 0.9544932405354576, 0.348], [0], [0], [0.0], [0.75], [0.25], [0.024477767806309482], [0.0], [0.25], [0.0], [0.25], [0.28357855481343885], [0.28357855481343885]]"
0,17,6,8,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637088846612624, 0.665], [0.9711480237613496, 0.9564128450998641, 0.335], [0.9970433007223067, 0.9427631712971979, 0.317], [0.7250168133812331, 0.7252663055956777, 0.001], [1.0, 0.945441754563516, 0.318], [0.996637833976807, 0.9897795427906574, 0.04], [0.8909109603462846, 0.9488722745371994, 0.324], [0], [0], [0.0], [0.75], [0.25], [0.024479042333269745], [0.0], [0.25], [0.0], [0.25], [0.283410799514285], [0.283410799514285]]"
0,18,3,4,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0, 0], [0.7937626100359249, 0.7637256597912767, 0.549], [0.9711480237613496, 0.9471174407109736, 0.451], [0.9970433007223067, 0.9418070366658295, 0.303], [0.7250168133812331, 0.7235765464573597, 0.008], [1.0, 0.9507330458604494, 0.27], [0.996637833976807, 0.9791922098429406, 0.096], [0.8909109603462846, 0.9498690055774976, 0.323], [0], [0], [0.0], [0.75], [0.25], [0.02444196696583557], [0.0], [0.25], [0.0], [0.25], [0.2835613139223463], [0.2835613139223463]]"
0,19,6,7,<class 'model_PE_agents.ActiveAgent'>,"[[0, 0.0, 0], [0.7937626100359249, 0.7597363184510308, 0.851], [0.9711480237613496, 0.9647084652966068, 0.149], [0.9970433007223067, 0.9995297584251066, 0.012], [0.7250168133812331, 0.6338339117528401, 0.444], [1.0, 0.9864112846223554, 0.035], [0.996637833976807, 0.9935754327504415, 0.015], [0.8909109603462846, 0.992102539133561, 0.493], [0], [0], [0.35], [0.75], [0.35], [0.20103624580679727], [0.07807819359197558], [0.32835672691228895], [0.15], [0.55], [0.36665644859183166], [0.36665644859183166]]"
